submitted_year,prospective_status,n
2015,AI-specific prospective design,0
2015,No or unclear,2
2016,AI-specific prospective design,1
2016,No or unclear,2
2017,AI-specific prospective design,3
2017,No or unclear,2
2018,AI-specific prospective design,2
2018,No or unclear,6
2019,AI-specific prospective design,3
2019,No or unclear,13
2020,AI-specific prospective design,6
2020,No or unclear,12
2021,AI-specific prospective design,10
2021,No or unclear,14
2022,AI-specific prospective design,7
2022,No or unclear,19
2023,AI-specific prospective design,15
2023,No or unclear,18
2024,AI-specific prospective design,26
2024,No or unclear,37
2025,AI-specific prospective design,20
2025,No or unclear,25
2026,AI-specific prospective design,10
2026,No or unclear,10
